"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"LIFEINSU","2024-12-03","13597.22","13864.61","13458.99","13853.7","1.52 %","383,845,202.80","-"
"LIFEINSU","2024-12-02","13403.18","13652.77","13392.4","13645.66","1.96 %","386,222,179.20","-"
"LIFEINSU","2024-12-01","13628.89","13723.89","13238.3","13383.73","-1.36 %","479,739,830.50","-"
"LIFEINSU","2024-11-28","13471.38","13682.91","13263.02","13567.88","0.47 %","269,148,506.50","-"
"LIFEINSU","2024-11-27","13138.12","13504.38","13134.49","13504.38","2.82 %","335,871,875.40","-"
"LIFEINSU","2024-11-26","13108.18","13207.2","13045.23","13134.59","1.02 %","219,063,545.00","-"
"LIFEINSU","2024-11-25","12971.71","13111.65","12916.66","13001.92","0.23 %","137,078,063.40","-"
"LIFEINSU","2024-11-24","13060.15","13135.89","12940.94","12971.71","-0.56 %","240,469,948.40","-"
"LIFEINSU","2024-11-21","13209.08","13311.85","13011.32","13044.34","-1.37 %","248,343,061.70","-"
"LIFEINSU","2024-11-20","13295.89","13310.89","13165.98","13225.5","-0.19 %","205,917,731.90","-"
"LIFEINSU","2024-11-19","13499.11","13567.37","13240.56","13250.13","-1.94 %","386,266,150.90","-"
"LIFEINSU","2024-11-17","13573.92","13691.28","13496.79","13512.77","0.22 %","375,471,662.20","-"
"LIFEINSU","2024-11-14","13487.95","13591.32","13433.14","13483.15","-0.04 %","258,758,254.20","-"
"LIFEINSU","2024-11-13","13698.24","13719.01","13444.52","13487.94","-1.19 %","242,198,832.80","-"
"LIFEINSU","2024-11-12","13712.17","13879.91","13614.97","13650.57","-0.45 %","307,870,228.40","-"
"LIFEINSU","2024-11-11","13512.51","13819.56","13508.52","13712.16","1.67 %","640,930,055.00","-"
"LIFEINSU","2024-11-10","13279.05","13497.15","13193.79","13487.52","2.17 %","438,470,913.70","-"
"LIFEINSU","2024-11-06","13266.43","13339.78","13116.15","13201.46","-0.14 %","201,889,509.60","-"
"LIFEINSU","2024-11-05","13167.48","13307.65","13122.92","13219.77","0.40 %","157,067,895.60","-"
"LIFEINSU","2024-10-30","13257.01","13317.15","13139.97","13167.47","-0.99 %","204,273,788.10","-"
"LIFEINSU","2024-10-29","13104.58","13305.49","13048.21","13298.49","1.81 %","295,476,673.80","-"
"LIFEINSU","2024-10-28","12911.39","13096.2","12911.38","13062.43","1.85 %","314,789,442.40","-"
"LIFEINSU","2024-10-27","12715.48","12891.13","12712.33","12825.78","1.16 %","143,447,221.30","-"
"LIFEINSU","2024-10-24","12732.06","12812.46","12618.6","12679.06","-0.52 %","295,697,279.40","-"
"LIFEINSU","2024-10-23","12795.96","12941.31","12715.68","12745.58","-0.72 %","241,003,677.30","-"
"LIFEINSU","2024-10-22","12749.65","12969.07","12671.3","12837.89","0.50 %","230,662,277.60","-"
"LIFEINSU","2024-10-21","13055.34","13076.9","12723.26","12774.6","-2.15 %","328,164,194.50","-"
"LIFEINSU","2024-10-20","13294.79","13326.61","13025.09","13055.34","-2.36 %","359,887,581.10","-"
"LIFEINSU","2024-10-17","13463.37","13548.84","13343.35","13370.81","-0.25 %","276,350,063.70","-"
"LIFEINSU","2024-10-16","13238.4","13448.51","13228.26","13403.96","1.80 %","301,690,379.80","-"
"LIFEINSU","2024-10-15","13035.96","13183.63","12988.3","13166.34","1.00 %","100,702,659.80","-"
"LIFEINSU","2024-10-09","13037.74","13073.59","12884.1","13035.95","-0.01 %","118,882,139.30","-"
"LIFEINSU","2024-10-08","13179.54","13231.45","12985.49","13037.74","-1.08 %","184,550,931.20","-"
"LIFEINSU","2024-10-07","13034.68","13336.89","13033.01","13179.54","1.11 %","299,961,285.80","-"
"LIFEINSU","2024-10-06","12842.74","13056.41","12764.58","13034.67","1.34 %","238,798,183.40","-"
"LIFEINSU","2024-10-02","12938.61","13120.46","12741.84","12861.92","-0.41 %","290,380,514.40","-"
"LIFEINSU","2024-10-01","12402.79","12936.21","12402.78","12914.57","4.13 %","394,854,305.90","-"
"LIFEINSU","2024-09-30","12237.59","12417.05","12114.09","12402.78","1.78 %","204,367,870.40","-"
"LIFEINSU","2024-09-29","12281.19","12281.19","11981.81","12185.58","-0.32 %","202,274,205.80","-"
"LIFEINSU","2024-09-26","12362.68","12473.46","12208.88","12224.58","-0.93 %","303,450,545.10","-"
"LIFEINSU","2024-09-25","12108.38","12382.75","11983.71","12339.8","1.91 %","308,986,723.80","-"
"LIFEINSU","2024-09-24","12244.7","12407.31","12077.09","12108.38","-1.22 %","476,704,345.70","-"
"LIFEINSU","2024-09-23","12659.2","12659.2","12230.96","12258.52","-2.36 %","350,261,664.30","-"
