"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"INVESTMENT","2024-09-02","109.6","115.87","109.2","115.87","5.46 %","925,180,386.40","-"
"INVESTMENT","2024-09-01","111.19","113.61","109.19","109.87","-1.33 %","653,237,425.30","-"
"INVESTMENT","2024-08-29","112.89","113.61","110.37","111.35","-1.00 %","844,703,894.70","-"
"INVESTMENT","2024-08-28","111.35","115.99","110.98","112.47","1.01 %","1,050,848,152.50","-"
"INVESTMENT","2024-08-27","116.26","117","110.99","111.34","-4.14 %","1,212,086,192.50","-"
"INVESTMENT","2024-08-25","121.65","122.08","115.93","116.15","-3.83 %","1,174,643,085.20","-"
"INVESTMENT","2024-08-22","122.83","123.41","120.56","120.78","-1.09 %","1,092,798,685.10","-"
"INVESTMENT","2024-08-21","122.85","124.64","121.18","122.11","0.13 %","1,547,756,401.20","-"
"INVESTMENT","2024-08-18","122.58","125.55","120.21","121.95","-0.64 %","2,070,147,305.30","-"
"INVESTMENT","2024-08-15","121.63","125.74","119.94","122.74","2.69 %","1,786,105,723.60","-"
"INVESTMENT","2024-08-14","117.95","120.19","115.57","119.52","2.49 %","1,549,332,643.60","-"
"INVESTMENT","2024-08-13","117.54","118.55","113.45","116.62","0.09 %","1,333,191,364.00","-"
"INVESTMENT","2024-08-12","117.3","119.07","115.84","116.52","-0.20 %","1,868,109,854.50","-"
"INVESTMENT","2024-08-11","112.34","116.76","111.44","116.75","4.43 %","1,722,391,618.80","-"
"INVESTMENT","2024-08-08","111.77","114.7","110.65","112.12","1.34 %","2,090,758,546.30","-"
"INVESTMENT","2024-08-07","105.81","110.82","104.92","110.64","3.90 %","1,376,274,967.50","-"
"INVESTMENT","2024-08-06","113.6","115.06","106.08","106.49","-6.37 %","1,922,058,531.90","-"
"INVESTMENT","2024-08-05","110.85","114.5","109.58","113.74","3.52 %","1,931,529,971.20","-"
"INVESTMENT","2024-08-01","108.51","111.65","107.75","109.87","2.75 %","2,164,769,508.80","-"
"INVESTMENT","2024-07-31","100.1","108.55","100.09","106.93","6.90 %","1,668,113,960.80","-"
"INVESTMENT","2024-07-30","96.95","100.41","96.51","100.03","3.17 %","987,507,681.00","-"
